Date,id 539,id 541
10/1/15,0,0
10/2/15,0,0
10/3/15,0,0
10/4/15,0,0
10/5/15,0,0
10/6/15,0,0
10/7/15,0,0
10/8/15,0,0
10/9/15,0,0
10/10/15,0,0
10/11/15,0,0
10/12/15,0,0
10/13/15,0,0
10/14/15,0,0
10/15/15,0,0
10/16/15,0,0
10/17/15,0,0
10/18/15,0,0
10/19/15,0,0
10/20/15,0,0
10/21/15,0,0
10/22/15,0,0
10/23/15,0,0
10/24/15,0,0
10/25/15,0,0
10/26/15,0,0
10/27/15,0,0
10/28/15,0,0
10/29/15,0,0
10/30/15,0,0
10/31/15,0,0
11/1/15,0,0
11/2/15,0,0
11/3/15,1.1,0.8
11/4/15,1.1,0.8
11/5/15,1.1,0.8
11/6/15,1.1,0.9
11/7/15,1.1,0.9
11/8/15,1.1,0.9
11/9/15,1.1,1.1
11/10/15,1.2,1.3
11/11/15,1.2,1.5
11/12/15,1.3,1.6
11/13/15,1.3,1.6
11/14/15,1.3,1.7
11/15/15,1.3,1.7
11/16/15,1.4,1.9
11/17/15,1.5,1.9
11/18/15,1.6,2.1
11/19/15,1.6,2.1
11/20/15,1.5,2.1
11/21/15,1.4,2.1
11/22/15,1.3,2.1
11/23/15,1.3,2.1
11/24/15,1.3,2.1
11/25/15,1.7,2.9
11/26/15,1.9,3.4
11/27/15,1.9,3.4
11/28/15,1.9,3.4
11/29/15,1.9,3.4
11/30/15,1.9,3.4
12/1/15,2.1,4
12/2/15,2.3,4
12/3/15,2.3,4
12/4/15,2.4,4.8
12/5/15,2.4,4.9
12/6/15,2.4,4.9
12/7/15,2.4,5.1
12/8/15,2.4,5.1
12/9/15,2.5,5.1
12/10/15,2.5,5.1
12/11/15,2.4,7.5
12/12/15,2.6,7.7
12/13/15,2.8,7.8
12/14/15,3.3,9.6
12/15/15,3.4,9.6
12/16/15,3.4,9.7
12/17/15,3.6,9.9
12/18/15,3.7,10
12/19/15,3.7,10
12/20/15,3.7,10.3
12/21/15,3.8,10.6
12/22/15,4,12.9
12/23/15,4.2,14.1
12/24/15,4.3,14.1
12/25/15,4.7,15.1
12/26/15,4.8,15.3
12/27/15,5,15.3
12/28/15,5,15.3
12/29/15,5,15.4
12/30/15,5,15.5
12/31/15,5,15.6
1/1/16,5,15.6
1/2/16,5,15.6
1/3/16,5,15.7
1/4/16,5,15.8
1/5/16,5,16
1/6/16,5.3,16.7
1/7/16,5.3,17.1
